300 18106
0 8 2
0 11 7
0 12 9
0 22 10
0 23 4
0 25 5
0 26 4
0 30 1
0 36 3
0 42 1
0 44 7
0 54 9
0 57 3
0 61 9
0 78 4
0 85 1
0 89 10
0 92 5
0 94 8
0 97 3
0 107 7
0 108 5
0 116 2
0 119 9
0 121 3
0 123 9
0 130 10
0 136 9
0 140 1
0 143 2
0 160 9
0 163 6
0 166 10
0 174 1
0 175 2
0 178 1
0 182 6
0 188 1
0 190 7
0 192 3
0 200 1
0 201 7
0 203 10
0 205 2
0 206 2
0 220 3
0 224 3
0 232 7
0 246 6
0 250 2
0 270 4
0 274 5
0 285 7
0 289 9
0 294 3
1 0 6
1 8 10
1 14 7
1 15 9
1 19 3
1 22 2
1 24 9
1 25 7
1 32 8
1 38 4
1 39 1
1 44 7
1 45 2
1 50 7
1 52 6
1 53 8
1 64 4
1 77 8
1 78 7
1 79 1
1 81 3
1 88 4
1 89 8
1 93 6
1 94 10
1 97 5
1 98 9
1 103 8
1 106 8
1 118 9
1 120 9
1 122 3
1 123 8
1 125 9
1 131 1
1 133 6
1 137 7
1 140 5
1 148 10
1 151 10
1 158 5
1 160 2
1 166 4
1 175 5
1 196 6
1 197 7
1 200 7
1 210 10
1 212 10
1 227 9
1 231 10
1 234 6
1 236 5
1 237 8
1 239 1
1 241 8
1 247 6
1 248 10
1 253 1
1 254 6
1 255 6
1 260 7
1 268 2
1 269 2
1 272 10
1 276 1
1 277 4
1 283 9
1 297 2
2 0 4
2 3 3
2 14 10
2 16 4
2 21 6
2 26 4
2 27 1
2 30 6
2 40 7
2 41 1
2 45 9
2 46 6
2 49 6
2 51 6
2 58 1
2 65 9
2 72 6
2 74 6
2 76 8
2 81 10
2 86 2
2 87 9
2 88 4
2 90 5
2 91 7
2 104 9
2 105 9
2 110 3
2 113 3
2 119 7
2 123 6
2 124 7
2 130 6
2 139 3
2 152 8
2 154 4
2 160 1
2 161 9
2 176 3
2 185 9
2 186 1
2 191 9
2 192 10
2 202 3
2 217 7
2 219 7
2 222 8
2 228 4
2 231 6
2 246 3
2 269 4
2 278 1
2 281 4
2 283 8
2 286 1
2 290 6
2 292 3
2 297 1
2 298 2
3 5 8
3 23 2
3 24 7
3 37 10
3 42 2
3 50 9
3 69 7
3 73 6
3 76 8
3 79 10
3 93 9
3 101 5
3 107 9
3 114 8
3 115 6
3 116 6
3 117 4
3 124 8
3 125 4
3 126 2
3 130 4
3 134 7
3 137 4
3 143 10
3 163 7
3 169 7
3 170 5
3 176 10
3 177 10
3 180 9
3 186 3
3 190 8
3 196 3
3 206 8
3 208 3
3 213 1
3 216 6
3 235 6
3 239 1
3 244 9
3 257 3
3 260 4
3 263 4
3 273 5
3 276 3
3 278 5
3 282 10
3 293 7
4 2 4
4 3 3
4 10 6
4 14 8
4 25 5
4 28 5
4 39 6
4 45 10
4 49 8
4 51 6
4 60 4
4 65 8
4 68 1
4 72 3
4 73 2
4 74 5
4 83 4
4 89 9
4 97 1
4 102 3
4 111 4
4 117 4
4 120 1
4 122 3
4 125 3
4 127 10
4 131 9
4 138 4
4 141 7
4 142 3
4 144 10
4 151 5
4 154 1
4 155 10
4 157 10
4 172 8
4 173 9
4 178 4
4 186 7
4 191 6
4 192 2
4 193 7
4 194 7
4 202 3
4 205 1
4 219 6
4 228 5
4 241 9
4 248 7
4 269 9
4 271 7
4 274 3
4 282 1
4 283 7
4 285 2
4 289 10
4 296 1
4 298 4
5 10 5
5 15 7
5 16 2
5 19 8
5 21 4
5 29 1
5 55 3
5 60 6
5 63 1
5 64 1
5 66 4
5 67 7
5 70 7
5 74 1
5 76 9
5 80 8
5 92 8
5 106 3
5 111 6
5 115 8
5 117 6
5 122 2
5 127 5
5 128 4
5 131 6
5 132 3
5 133 3
5 151 9
5 152 3
5 157 8
5 159 5
5 166 4
5 170 3
5 174 1
5 175 6
5 177 4
5 178 7
5 184 2
5 190 9
5 199 5
5 201 8
5 202 7
5 211 7
5 226 4
5 230 1
5 236 1
5 237 2
5 241 8
5 248 2
5 250 10
5 253 10
5 264 8
5 278 5
5 295 7
6 11 1
6 12 10
6 29 1
6 32 6
6 43 6
6 55 8
6 65 2
6 73 1
6 76 6
6 89 2
6 105 10
6 109 5
6 110 7
6 115 4
6 117 4
6 119 7
6 122 9
6 124 10
6 143 8
6 149 5
6 152 7
6 153 3
6 158 10
6 159 9
6 170 10
6 177 7
6 180 7
6 182 9
6 183 1
6 185 3
6 186 10
6 188 1
6 189 5
6 190 6
6 195 3
6 196 1
6 203 8
6 205 3
6 206 1
6 211 2
6 229 4
6 233 3
6 237 5
6 248 5
6 250 4
6 255 3
6 259 8
6 262 6
6 263 3
6 271 4
6 272 8
6 279 9
6 281 8
6 282 4
6 283 7
6 284 9
6 294 6
6 299 8
7 5 9
7 28 8
7 32 8
7 35 5
7 37 6
7 45 7
7 50 3
7 52 8
7 55 9
7 56 5
7 77 4
7 82 7
7 86 10
7 87 5
7 93 7
7 95 9
7 100 1
7 101 10
7 108 4
7 116 5
7 128 9
7 144 10
7 153 5
7 158 9
7 162 9
7 164 2
7 168 9
7 178 3
7 183 5
7 187 9
7 191 2
7 197 6
7 203 9
7 209 4
7 210 8
7 225 2
7 227 9
7 236 10
7 238 2
7 241 4
7 248 3
7 250 9
7 251 1
7 256 4
7 274 4
7 275 2
7 279 8
7 282 7
7 284 4
7 285 1
7 289 9
7 292 10
7 297 2
7 298 2
8 0 10
8 4 3
8 6 8
8 10 10
8 16 7
8 22 4
8 23 7
8 31 6
8 39 1
8 42 2
8 45 7
8 52 2
8 58 7
8 80 2
8 81 9
8 87 2
8 92 6
8 94 2
8 95 2
8 96 2
8 105 9
8 112 6
8 121 2
8 127 5
8 137 7
8 138 1
8 140 1
8 152 8
8 153 8
8 159 10
8 161 2
8 165 2
8 168 6
8 176 10
8 177 7
8 181 1
8 187 9
8 190 2
8 192 5
8 206 1
8 210 5
8 219 10
8 220 10
8 227 6
8 230 6
8 243 2
8 246 8
8 249 2
8 267 7
8 273 6
8 283 2
8 288 1
8 289 4
8 291 8
8 295 5
9 3 5
9 4 3
9 6 5
9 16 5
9 24 5
9 25 9
9 29 10
9 30 7
9 35 10
9 37 6
9 47 3
9 52 6
9 58 4
9 60 5
9 71 2
9 73 6
9 76 9
9 80 2
9 87 1
9 93 1
9 94 1
9 95 7
9 96 7
9 100 9
9 106 8
9 112 10
9 116 5
9 133 8
9 135 3
9 138 10
9 146 10
9 147 10
9 155 7
9 161 10
9 190 2
9 192 1
9 193 4
9 196 7
9 203 3
9 209 3
9 213 8
9 226 2
9 227 8
9 229 3
9 231 4
9 233 9
9 235 6
9 236 5
9 240 5
9 247 2
9 248 7
9 253 7
9 256 8
9 270 9
9 299 4
10 0 6
10 1 10
10 4 2
10 11 10
10 12 8
10 15 5
10 18 9
10 28 1
10 34 2
10 38 10
10 40 6
10 55 10
10 58 2
10 59 9
10 62 5
10 64 8
10 68 10
10 78 8
10 79 1
10 83 9
10 88 10
10 98 1
10 105 4
10 112 10
10 117 4
10 122 7
10 129 8
10 133 6
10 141 7
10 144 6
10 145 3
10 152 8
10 162 5
10 166 6
10 170 7
10 171 6
10 177 4
10 182 8
10 186 7
10 192 9
10 194 5
10 204 6
10 212 6
10 216 5
10 225 8
10 226 10
10 231 10
10 232 3
10 238 10
10 246 2
10 255 9
10 259 3
10 263 9
10 264 5
10 268 3
10 274 5
10 275 1
10 289 9
10 293 6
11 1 9
11 2 3
11 9 9
11 20 9
11 22 8
11 23 4
11 31 4
11 33 4
11 36 7
11 47 3
11 52 4
11 56 1
11 59 2
11 65 10
11 67 1
11 75 6
11 80 6
11 83 10
11 101 2
11 103 7
11 109 5
11 112 8
11 121 1
11 123 9
11 127 6
11 135 8
11 140 9
11 154 2
11 157 10
11 171 10
11 172 6
11 173 3
11 177 5
11 178 10
11 189 1
11 196 3
11 198 5
11 200 8
11 210 10
11 213 1
11 214 8
11 215 6
11 216 7
11 217 2
11 218 3
11 219 10
11 220 2
11 222 3
11 224 3
11 229 8
11 236 1
11 239 4
11 242 9
11 243 5
11 244 2
11 258 9
11 259 3
11 260 1
11 265 5
11 266 5
11 268 4
11 273 3
11 280 10
11 282 5
11 288 1
11 290 5
11 295 8
12 1 5
12 3 3
12 5 7
12 18 7
12 19 10
12 30 4
12 33 4
12 34 3
12 39 7
12 43 7
12 45 6
12 47 7
12 49 2
12 52 2
12 60 9
12 70 8
12 73 4
12 74 8
12 87 8
12 88 3
12 91 9
12 96 1
12 98 8
