ThreadID: 40f61f5378750000, CarID: 0, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40c69f5178750000, CarID: 3, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40b61f5178750000, CarID: 4, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40e69f5278750000, CarID: 1, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40d61f5278750000, CarID: 2, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40a69f5078750000, CarID: 5, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40f6ff4b78750000, CarID: 6, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40e67f4b78750000, CarID: 7, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40b61f5178750000, CarID: 4, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40d61f5278750000, CarID: 2, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40b61f5178750000, CarID: 4, Object: C0, time stamp: 100, AID: 2 started passing connector.
ThreadID: 40c69f5178750000, CarID: 3, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40a69f5078750000, CarID: 5, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40e69f5278750000, CarID: 1, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40f61f5378750000, CarID: 0, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40f6ff4b78750000, CarID: 6, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40e67f4b78750000, CarID: 7, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40c69f5178750000, CarID: 3, Object: C0, time stamp: 110, AID: 2 started passing connector.
ThreadID: 40f61f5378750000, CarID: 0, Object: C0, time stamp: 120, AID: 2 started passing connector.
ThreadID: 40e67f4b78750000, CarID: 7, Object: C0, time stamp: 130, AID: 2 started passing connector.
ThreadID: 40b61f5178750000, CarID: 4, Object: C0, time stamp: 200, AID: 3 finished passing connector.
ThreadID: 40b61f5178750000, CarID: 4, Object: C0, time stamp: 200, AID: 0 traveling to connector.
ThreadID: 40c69f5178750000, CarID: 3, Object: C0, time stamp: 210, AID: 3 finished passing connector.
ThreadID: 40c69f5178750000, CarID: 3, Object: C0, time stamp: 210, AID: 0 traveling to connector.
ThreadID: 40f61f5378750000, CarID: 0, Object: C0, time stamp: 220, AID: 3 finished passing connector.
ThreadID: 40f61f5378750000, CarID: 0, Object: C0, time stamp: 220, AID: 0 traveling to connector.
ThreadID: 40e67f4b78750000, CarID: 7, Object: C0, time stamp: 230, AID: 3 finished passing connector.
ThreadID: 40e67f4b78750000, CarID: 7, Object: C0, time stamp: 230, AID: 0 traveling to connector.
ThreadID: 40d61f5278750000, CarID: 2, Object: C0, time stamp: 231, AID: 2 started passing connector.
ThreadID: 40a69f5078750000, CarID: 5, Object: C0, time stamp: 241, AID: 2 started passing connector.
ThreadID: 40e69f5278750000, CarID: 1, Object: C0, time stamp: 251, AID: 2 started passing connector.
ThreadID: 40f6ff4b78750000, CarID: 6, Object: C0, time stamp: 261, AID: 2 started passing connector.
ThreadID: 40b61f5178750000, CarID: 4, Object: C0, time stamp: 300, AID: 1 arrived at connector.
ThreadID: 40c69f5178750000, CarID: 3, Object: C0, time stamp: 310, AID: 1 arrived at connector.
