ThreadID: 40f69f7a25720000, CarID: 0, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40e61f7a25720000, CarID: 1, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40f6ff7325720000, CarID: 3, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40d69f7925720000, CarID: 2, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40c61f7925720000, CarID: 4, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40b69f7825720000, CarID: 5, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40e67f7325720000, CarID: 6, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40d6ff7225720000, CarID: 7, Object: C0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40f69f7a25720000, CarID: 0, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40f6ff7325720000, CarID: 3, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40f69f7a25720000, CarID: 0, Object: C0, time stamp: 100, AID: 2 started passing connector.
ThreadID: 40e61f7a25720000, CarID: 1, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40b69f7825720000, CarID: 5, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40c61f7925720000, CarID: 4, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40d69f7925720000, CarID: 2, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40d6ff7225720000, CarID: 7, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40e67f7325720000, CarID: 6, Object: C0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40c61f7925720000, CarID: 4, Object: C0, time stamp: 110, AID: 2 started passing connector.
ThreadID: 40d69f7925720000, CarID: 2, Object: C0, time stamp: 120, AID: 2 started passing connector.
ThreadID: 40e67f7325720000, CarID: 6, Object: C0, time stamp: 130, AID: 2 started passing connector.
ThreadID: 40f69f7a25720000, CarID: 0, Object: C0, time stamp: 201, AID: 3 finished passing connector.
ThreadID: 40f69f7a25720000, CarID: 0, Object: C0, time stamp: 201, AID: 0 traveling to connector.
