ThreadID: 40f63f9860720000, CarID: 0, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40c6bf9660720000, CarID: 3, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40e6bf9760720000, CarID: 1, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40d63f9760720000, CarID: 2, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40b63f9660720000, CarID: 4, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40a6bf9560720000, CarID: 5, Object: N0, time stamp: 0, AID: 0 traveling to connector.
ThreadID: 40c6bf9660720000, CarID: 3, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40c6bf9660720000, CarID: 3, Object: N0, time stamp: 100, AID: 2 started passing connector.
ThreadID: 40f63f9860720000, CarID: 0, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40b63f9660720000, CarID: 4, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40a6bf9560720000, CarID: 5, Object: N0, time stamp: 100, AID: 1 arrived at connector.
ThreadID: 40b63f9660720000, CarID: 4, Object: N0, time stamp: 110, AID: 2 started passing connector.
ThreadID: 40a6bf9560720000, CarID: 5, Object: N0, time stamp: 120, AID: 2 started passing connector.
ThreadID: 40e6bf9760720000, CarID: 1, Object: N0, time stamp: 300, AID: 1 arrived at connector.
ThreadID: 40c6bf9660720000, CarID: 3, Object: N0, time stamp: 501, AID: 3 finished passing connector.
ThreadID: 40c6bf9660720000, CarID: 3, Object: N0, time stamp: 501, AID: 0 traveling to connector.
ThreadID: 40b63f9660720000, CarID: 4, Object: N0, time stamp: 511, AID: 3 finished passing connector.
ThreadID: 40b63f9660720000, CarID: 4, Object: N0, time stamp: 511, AID: 0 traveling to connector.
ThreadID: 40a6bf9560720000, CarID: 5, Object: N0, time stamp: 521, AID: 3 finished passing connector.
ThreadID: 40a6bf9560720000, CarID: 5, Object: N0, time stamp: 521, AID: 0 traveling to connector.
